REGIONAL,DISTRITO,POLITÉCNICO,SIGERD,FAMILIA PROFESIONAL,DENOMINACIÓN,MATRICULA
07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O,06553 - POLITECNICO VICENTE AQUILINO SANTOS,06553,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,78
07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O,06610 - POLITECNICO MAX HENRIQUEZ UREÑA,06610,SALUD,Cuidados de Enfermería y Promoción de la Salud,25
07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O,06610 - POLITECNICO MAX HENRIQUEZ UREÑA,06610,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,96
07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O,06610 - POLITECNICO MAX HENRIQUEZ UREÑA,06610,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,71
07 - SAN FRANCISCO DE MACORIS,0707 - VILLA TAPIA,07779 - CENTRO DE EDUCACION Y PROMOCION RURAL (CEPROR),07779,AGRARIA,Agropecuaria,56
07 - SAN FRANCISCO DE MACORIS,0707 - VILLA TAPIA,07779 - CENTRO DE EDUCACION Y PROMOCION RURAL (CEPROR),07779,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,52
08 - SANTIAGO,0801 - SAN JOSE DE LAS MATAS,08692 - POLITECNICO CANADA,08692,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,132
08 - SANTIAGO,0801 - SAN JOSE DE LAS MATAS,08692 - POLITECNICO CANADA,08692,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,79
08 - SANTIAGO,0802 - JANICO,08673 - POLITECNICO JUAN ANTONIO COLLADO,08673,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,35
08 - SANTIAGO,0802 - JANICO,08673 - POLITECNICO JUAN ANTONIO COLLADO,08673,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,45
08 - SANTIAGO,0802 - JANICO,08735 - POLITECNICO DON JUAN HERNANDEZ,08735,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,66
08 - SANTIAGO,0802 - JANICO,08735 - POLITECNICO DON JUAN HERNANDEZ,08735,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,29
"08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,08489 - INSTITUTO POLITECNICO INDUSTRIAL DE SANTIAGO-IPISA,08489,""TEXTIL, CONFECCIÓN Y PIEL"",Confección y Patronaje,48"
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,08489 - INSTITUTO POLITECNICO INDUSTRIAL DE SANTIAGO-IPISA,08489,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,100
"08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,08489 - INSTITUTO POLITECNICO INDUSTRIAL DE SANTIAGO-IPISA,08489,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Electromecánica de Vehículos,60"
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,08489 - INSTITUTO POLITECNICO INDUSTRIAL DE SANTIAGO-IPISA,08489,ELECTRICIDAD Y ELECTRÓNICA,Equipos Electrónicos,33
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,08489 - INSTITUTO POLITECNICO INDUSTRIAL DE SANTIAGO-IPISA,08489,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,72
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,08489 - INSTITUTO POLITECNICO INDUSTRIAL DE SANTIAGO-IPISA,08489,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,55
"08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,08489 - INSTITUTO POLITECNICO INDUSTRIAL DE SANTIAGO-IPISA,08489,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Mecanizado,40"
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,08489 - INSTITUTO POLITECNICO INDUSTRIAL DE SANTIAGO-IPISA,08489,MADERA Y MUEBLE,Muebles y Estructuras de Madera,58
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,08826 - COLEGIO DE ESTUDIOS GENERALES Y DE SERVICIOS,08826,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,48
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,08826 - COLEGIO DE ESTUDIOS GENERALES Y DE SERVICIOS,08826,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,44
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,13505 - INSTITUTO POLITECNICO INDUSTRIAL DON BOSCO - SALESIANO,13505,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,79
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,13505 - INSTITUTO POLITECNICO INDUSTRIAL DON BOSCO - SALESIANO,13505,ELECTRICIDAD Y ELECTRÓNICA,Energías Renovables,16
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,13505 - INSTITUTO POLITECNICO INDUSTRIAL DON BOSCO - SALESIANO,13505,ELECTRICIDAD Y ELECTRÓNICA,Equipos Electrónicos,64
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,13505 - INSTITUTO POLITECNICO INDUSTRIAL DON BOSCO - SALESIANO,13505,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,70
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,13505 - INSTITUTO POLITECNICO INDUSTRIAL DON BOSCO - SALESIANO,13505,ADMINISTRACIÓN Y COMERCIO,Logística y Transporte,67
"08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,13505 - INSTITUTO POLITECNICO INDUSTRIAL DON BOSCO - SALESIANO,13505,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Mecanizado,60"
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,13505 - INSTITUTO POLITECNICO INDUSTRIAL DON BOSCO - SALESIANO,13505,AUDIOVISUALES Y GRÁFICAS,Multimedia y Gráfica,72
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,13505 - INSTITUTO POLITECNICO INDUSTRIAL DON BOSCO - SALESIANO,13505,ELECTRICIDAD Y ELECTRÓNICA,Refrigeración y Acondicionamiento de Aire,48
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,14312 - POLITECNICO MONSEÑOR JUAN ANTONIO FLORES,14312,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,149
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,14312 - POLITECNICO MONSEÑOR JUAN ANTONIO FLORES,14312,TURISMO Y HOSTELERÍA,Servicios Turísticos,165
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,14312 - POLITECNICO MONSEÑOR JUAN ANTONIO FLORES,14312,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,173
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,14392 - POLITECNICO MERCEDES ALTAGRACIA CABRAL DE LEON,14392,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,170
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,14392 - POLITECNICO MERCEDES ALTAGRACIA CABRAL DE LEON,14392,TURISMO Y HOSTELERÍA,Servicios Turísticos,141
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,14601 - POLITECNICO PROF. JOSE MERCEDES ALVINO,14601,SALUD,Atención a Emergencias de la Salud,97
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,14601 - POLITECNICO PROF. JOSE MERCEDES ALVINO,14601,ADMINISTRACIÓN Y COMERCIO,Logística y Transporte,83
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,14601 - POLITECNICO PROF. JOSE MERCEDES ALVINO,14601,TURISMO Y HOSTELERÍA,Servicios de Alojamiento,72
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,15446 - POLITECNICO PROF. RAFAELA MARRERO PAULINO,15446,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,152
08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,15446 - POLITECNICO PROF. RAFAELA MARRERO PAULINO,15446,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,180
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08487 - MADRE TERESA DE CALCUTA,08487,SALUD,Cuidados de Enfermería y Promoción de la Salud,28
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08487 - MADRE TERESA DE CALCUTA,08487,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,42
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08502 - INTEGRAL H Y A - HOGAR EL MUNDO DE LOS NIÑOS,08502,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,29
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08506 - CENTRO EDUCATIVO QUISQUEYA-CEQUISA,08506,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,67
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08531 - POLITECNICO PROF. RAFAELA PEREZ,08531,SALUD,Cuidados de Enfermería y Promoción de la Salud,101
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08531 - POLITECNICO PROF. RAFAELA PEREZ,08531,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,179
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08531 - POLITECNICO PROF. RAFAELA PEREZ,08531,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,136
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08531 - POLITECNICO PROF. RAFAELA PEREZ,08531,TURISMO Y HOSTELERÍA,Servicios Turísticos,154
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08538 - INSTITUTO TECNOLOGICO MEXICO,08538,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,216
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08538 - INSTITUTO TECNOLOGICO MEXICO,08538,SALUD,Cuidados de Enfermería y Promoción de la Salud,99
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08538 - INSTITUTO TECNOLOGICO MEXICO,08538,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,233
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08538 - INSTITUTO TECNOLOGICO MEXICO,08538,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,286
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08538 - INSTITUTO TECNOLOGICO MEXICO,08538,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,104
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08538 - INSTITUTO TECNOLOGICO MEXICO,08538,ELECTRICIDAD Y ELECTRÓNICA,Mecatrónica,33
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08538 - INSTITUTO TECNOLOGICO MEXICO,08538,ELECTRICIDAD Y ELECTRÓNICA,Refrigeración y Acondicionamiento de Aire,49
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08538 - INSTITUTO TECNOLOGICO MEXICO,08538,ELECTRICIDAD Y ELECTRÓNICA,Sistemas de Telecomunicaciones.,57
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08539 - POLITECNICO MTRA. ELSA BRITO DE DOMINGUEZ,08539,SALUD,Cuidados de Enfermería y Promoción de la Salud,85
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08539 - POLITECNICO MTRA. ELSA BRITO DE DOMINGUEZ,08539,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,86
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08539 - POLITECNICO MTRA. ELSA BRITO DE DOMINGUEZ,08539,SALUD,Farmacia y Parafarmacia,73
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08539 - POLITECNICO MTRA. ELSA BRITO DE DOMINGUEZ,08539,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,60
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08539 - POLITECNICO MTRA. ELSA BRITO DE DOMINGUEZ,08539,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,36
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08539 - POLITECNICO MTRA. ELSA BRITO DE DOMINGUEZ,08539,ELECTRICIDAD Y ELECTRÓNICA,Mecatrónica,44
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08539 - POLITECNICO MTRA. ELSA BRITO DE DOMINGUEZ,08539,ELECTRICIDAD Y ELECTRÓNICA,Sistemas de Telecomunicaciones.,35
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08582 - INSTITUTO POLITECNICO LA ESPERANZA,08582,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,154
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08582 - INSTITUTO POLITECNICO LA ESPERANZA,08582,SALUD,Cuidados de Enfermería y Promoción de la Salud,116
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08582 - INSTITUTO POLITECNICO LA ESPERANZA,08582,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,92
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08582 - INSTITUTO POLITECNICO LA ESPERANZA,08582,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,149
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08582 - INSTITUTO POLITECNICO LA ESPERANZA,08582,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,100
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08623 - FAUSTO JIMENEZ,08623,SALUD,Cuidados de Enfermería y Promoción de la Salud,49
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08623 - FAUSTO JIMENEZ,08623,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,69
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08773 - POLITECNICO CRISTIANO AMANECER,08773,SALUD,Cuidados de Enfermería y Promoción de la Salud,53
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08773 - POLITECNICO CRISTIANO AMANECER,08773,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,61
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08773 - POLITECNICO CRISTIANO AMANECER,08773,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,56
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08832 - POLITECNICO VICTOR MANUEL ESPAILLAT,08832,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,136
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08832 - POLITECNICO VICTOR MANUEL ESPAILLAT,08832,SEGURIDAD Y MEDIOAMBIENTE,Control de Procesos Ambientales,86
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08832 - POLITECNICO VICTOR MANUEL ESPAILLAT,08832,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,83
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08832 - POLITECNICO VICTOR MANUEL ESPAILLAT,08832,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,107
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08920 - POLITECNICO RAMON DUBERT NOVO,08920,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,68
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08920 - POLITECNICO RAMON DUBERT NOVO,08920,SALUD,Cuidados de Enfermería y Promoción de la Salud,91
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08920 - POLITECNICO RAMON DUBERT NOVO,08920,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,115
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08920 - POLITECNICO RAMON DUBERT NOVO,08920,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,80
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08920 - POLITECNICO RAMON DUBERT NOVO,08920,ADMINISTRACIÓN Y COMERCIO,Logística y Transporte,67
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08920 - POLITECNICO RAMON DUBERT NOVO,08920,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,81
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,12169 - POLITECNICO VITALINA GALLARDO DE ABINADER,12169,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,175
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,14231 - POLITECNICO PROF. RAMONA ALTAGRACIA TEJADA MARTE,14231,AGRARIA,Agropecuaria,101
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,14231 - POLITECNICO PROF. RAMONA ALTAGRACIA TEJADA MARTE,14231,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,83
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,14582 - POLITECNICO SIMON ANTONIO LUCIANO CASTILLO,14582,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,66
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,14582 - POLITECNICO SIMON ANTONIO LUCIANO CASTILLO,14582,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,97
"08 - SANTIAGO,0804 - SANTIAGO NOROESTE,14582 - POLITECNICO SIMON ANTONIO LUCIANO CASTILLO,14582,""TEXTIL, CONFECCIÓN Y PIEL"",Producción y Patronaje de Calzado y Marroquinería,35"
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,15444 - POLITECNICO YORYI MOREL,15444,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Acondicionamiento Físico y Entrenamiento Deportivo,42
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,15444 - POLITECNICO YORYI MOREL,15444,SALUD,Farmacia y Parafarmacia,125
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,15444 - POLITECNICO YORYI MOREL,15444,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,65
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,15674 - POLITECNICO PROF. PLINIO RAFAEL MARTINEZ LUZON,15674,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,83
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,15674 - POLITECNICO PROF. PLINIO RAFAEL MARTINEZ LUZON,15674,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,81
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,15674 - POLITECNICO PROF. PLINIO RAFAEL MARTINEZ LUZON,15674,SALUD,Farmacia y Parafarmacia,148
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,15674 - POLITECNICO PROF. PLINIO RAFAEL MARTINEZ LUZON,15674,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,51
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08498 - INSTITUTO POLITECNICO NUESTRA SEÑORA DE LAS MERCEDES,08498,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,180
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08498 - INSTITUTO POLITECNICO NUESTRA SEÑORA DE LAS MERCEDES,08498,SALUD,Cuidados de Enfermería y Promoción de la Salud,101
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08498 - INSTITUTO POLITECNICO NUESTRA SEÑORA DE LAS MERCEDES,08498,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,96
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08498 - INSTITUTO POLITECNICO NUESTRA SEÑORA DE LAS MERCEDES,08498,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,179
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08562 - POLITECNICO ULISES FRANCISCO ESPAILLAT,08562,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,81
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08562 - POLITECNICO ULISES FRANCISCO ESPAILLAT,08562,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,65
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08562 - POLITECNICO ULISES FRANCISCO ESPAILLAT,08562,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,38
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08576 - INSTITUTO PEDAGOGICO  DE SANTIAGO,08576,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,41
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08600 - INTEGRAL NUESTRA SEÑORA DE FATIMA,08600,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,36
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08600 - INTEGRAL NUESTRA SEÑORA DE FATIMA,08600,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,35
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08822 - POLITECNICO MADRE TERESA DE CALCUTA - FE Y ALEGRIA,08822,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,111
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08822 - POLITECNICO MADRE TERESA DE CALCUTA - FE Y ALEGRIA,08822,TURISMO Y HOSTELERÍA,Servicios Turísticos,75
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08834 - POLITECNICO PADRE ZEGRI,08834,SALUD,Cuidados de Enfermería y Promoción de la Salud,64
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08834 - POLITECNICO PADRE ZEGRI,08834,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,165
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08834 - POLITECNICO PADRE ZEGRI,08834,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,72
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08913 - POLITECNICO ALTAGRACIA IGLESIAS DE LORA,08913,SALUD,Cuidados de Enfermería y Promoción de la Salud,126
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08913 - POLITECNICO ALTAGRACIA IGLESIAS DE LORA,08913,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,161
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08913 - POLITECNICO ALTAGRACIA IGLESIAS DE LORA,08913,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,142
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,10718 - POLITECNICO PASTOR ABAJO,10718,SALUD,Cuidados de Enfermería y Promoción de la Salud,39
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,10718 - POLITECNICO PASTOR ABAJO,10718,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,59
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,10718 - POLITECNICO PASTOR ABAJO,10718,SALUD,Farmacia y Parafarmacia,38
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,10718 - POLITECNICO PASTOR ABAJO,10718,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,69
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,11150 - POLITECNICO HERMANA JOSEFINA SERRANO,11150,SALUD,Cuidados de Enfermería y Promoción de la Salud,69
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,11150 - POLITECNICO HERMANA JOSEFINA SERRANO,11150,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,71
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,11150 - POLITECNICO HERMANA JOSEFINA SERRANO,11150,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,84
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,13506 - POLITECNICO ERNESTO DISLA NUNEZ,13506,SALUD,Atención a Emergencias de la Salud,192
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,13506 - POLITECNICO ERNESTO DISLA NUNEZ,13506,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,70
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,13506 - POLITECNICO ERNESTO DISLA NUNEZ,13506,SALUD,Farmacia y Parafarmacia,32
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,13506 - POLITECNICO ERNESTO DISLA NUNEZ,13506,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,106
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,13506 - POLITECNICO ERNESTO DISLA NUNEZ,13506,ADMINISTRACIÓN Y COMERCIO,Logística y Transporte,26
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,14313 - POLITECNICO PROF. YSABEL ROSALBA TORREZ RODRIGUEZ,14313,INDUSTRÍAS ALIMENTARIAS Y QUÍMICAS,Análisis y proceso químico-farmacéutico,66
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,14313 - POLITECNICO PROF. YSABEL ROSALBA TORREZ RODRIGUEZ,14313,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,65
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,14313 - POLITECNICO PROF. YSABEL ROSALBA TORREZ RODRIGUEZ,14313,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,96
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,15443 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,15443,SEGURIDAD Y MEDIOAMBIENTE,Conservación y Protección Ambiental,81
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,15443 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,15443,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,161
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,15443 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,15443,INDUSTRÍAS ALIMENTARIAS Y QUÍMICAS,Industrias Alimentarias,42
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,15443 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,15443,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,70
08 - SANTIAGO,0806 - SANTIAGO NORESTE,08640 - POLITECNICO MARTINA MERCEDES ZOUAIN,08640,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,55
08 - SANTIAGO,0806 - SANTIAGO NORESTE,08640 - POLITECNICO MARTINA MERCEDES ZOUAIN,08640,SALUD,Cuidados de Enfermería y Promoción de la Salud,57
